05:30:49 | INFO | __main__ | Laptop mode enabled — applying low-resource overrides.
05:30:49 | INFO | __main__ | Generating probe pairs ...
05:30:50 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/ag_news/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
05:30:50 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/fancyzhx/ag_news/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
05:30:50 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/fancyzhx/ag_news/eb185aade064a813bc0b7f42de02595523103ca4/README.md "HTTP/1.1 200 OK"
05:30:50 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/ag_news/resolve/eb185aade064a813bc0b7f42de02595523103ca4/ag_news.py "HTTP/1.1 307 Temporary Redirect"
05:30:51 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/fancyzhx/ag_news/resolve/eb185aade064a813bc0b7f42de02595523103ca4/ag_news.py "HTTP/1.1 404 Not Found"
05:30:51 | INFO | httpx | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/ag_news/ag_news.py "HTTP/1.1 200 OK"
05:30:52 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/ag_news/revision/eb185aade064a813bc0b7f42de02595523103ca4 "HTTP/1.1 307 Temporary Redirect"
05:30:52 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/fancyzhx/ag_news/revision/eb185aade064a813bc0b7f42de02595523103ca4 "HTTP/1.1 200 OK"
05:30:52 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/ag_news/resolve/eb185aade064a813bc0b7f42de02595523103ca4/.huggingface.yaml "HTTP/1.1 307 Temporary Redirect"
05:30:53 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/fancyzhx/ag_news/resolve/eb185aade064a813bc0b7f42de02595523103ca4/.huggingface.yaml "HTTP/1.1 404 Not Found"
05:30:53 | INFO | httpx | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=ag_news "HTTP/1.1 404 Not Found"
05:30:53 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/ag_news/tree/eb185aade064a813bc0b7f42de02595523103ca4/data?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
05:30:53 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/fancyzhx/ag_news/tree/eb185aade064a813bc0b7f42de02595523103ca4/data?recursive=true&expand=false "HTTP/1.1 200 OK"
05:30:54 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/ag_news/tree/eb185aade064a813bc0b7f42de02595523103ca4?recursive=false&expand=false "HTTP/1.1 307 Temporary Redirect"
05:30:54 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/fancyzhx/ag_news/tree/eb185aade064a813bc0b7f42de02595523103ca4?recursive=false&expand=false "HTTP/1.1 200 OK"
05:30:54 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/ag_news/resolve/eb185aade064a813bc0b7f42de02595523103ca4/dataset_infos.json "HTTP/1.1 307 Temporary Redirect"
05:30:54 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/fancyzhx/ag_news/resolve/eb185aade064a813bc0b7f42de02595523103ca4/dataset_infos.json "HTTP/1.1 404 Not Found"
05:30:55 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/daily_dialog/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
05:30:55 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/li2017dailydialog/daily_dialog/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
05:30:55 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/li2017dailydialog/daily_dialog/ffde34acefcd956529c39c4fc78d993b5b7f7520/README.md "HTTP/1.1 200 OK"
05:30:55 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/sst2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
05:30:56 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/stanfordnlp/sst2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
05:30:56 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stanfordnlp/sst2/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/README.md "HTTP/1.1 200 OK"
05:30:56 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/sst2.py "HTTP/1.1 307 Temporary Redirect"
05:30:56 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/sst2.py "HTTP/1.1 404 Not Found"
05:30:56 | INFO | httpx | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/sst2/sst2.py "HTTP/1.1 404 Not Found"
05:30:57 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/sst2/revision/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb "HTTP/1.1 307 Temporary Redirect"
05:30:57 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/stanfordnlp/sst2/revision/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb "HTTP/1.1 200 OK"
05:30:57 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/.huggingface.yaml "HTTP/1.1 307 Temporary Redirect"
05:30:57 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/.huggingface.yaml "HTTP/1.1 404 Not Found"
05:30:58 | INFO | httpx | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=sst2 "HTTP/1.1 404 Not Found"
05:30:58 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data?recursive=true&expand=false "HTTP/1.1 307 Temporary Redirect"
05:30:58 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data?recursive=true&expand=false "HTTP/1.1 200 OK"
